NanogKO_0h_1 NanogKO_0h_2 NanogKO_0h_3 NanogKO_12h_1 NanogKO_12h_2 NanogKO_12h_3 NanogKO_24h_1 NanogKO_24h_2 NanogKO_24h_3 WT_0h_1 WT_0h_2 WT_12h_1 WT_12h_2 WT_12h_3 WT_24h_1 WT_24h_2 WT_24h_3
Eid3 6 4 6 23 16 12 19 20 10 3 6 24 7 5 8 17 9
Chst11 156 183 188 110 114 66 152 45 54 233 618 367 150 78 103 168 202
Slc41a2 71 42 72 46 44 28 31 16 19 25 42 34 17 12 17 19 20
D10Wsu102e 1549 1550 1778 2117 1919 1230 2191 1457 910 1274 2245 3218 1004 796 1668 2068 2407
Aldh1l2 91 80 98 76 49 28 44 40 20 59 85 125 51 48 56 85 91
A230046K03Rik 1400 1375 1825 1437 1223 822 2060 1329 774 872 1491 2492 822 673 1412 2045 2298
Appl2 492 459 609 309 297 179 374 262 164 208 437 543 190 152 315 390 408
1500009L16Rik 603 628 707 639 508 329 787 500 406 351 492 721 228 177 472 581 686
Nuak1 441 507 547 504 447 323 382 227 144 679 1386 1352 527 322 424 552 673
4930463O16Rik 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Ckap4 2579 2739 3189 2656 2614 1726 2501 1602 1236 1652 3150 3565 1337 865 1666 1929 2176
C330046G13Rik 140 134 155 168 172 96 150 88 63 72 106 264 83 78 196 226 268
Tcp11l2 34 43 44 75 70 47 47 27 10 26 43 128 29 36 47 61 67
Polr3b 1421 1310 1625 1608 1461 1024 1927 1304 794 967 1670 2954 1062 833 1595 2185 2525
Rfx4 7 6 7 9 7 7 18 10 6 34 88 46 28 16 44 35 45
Ric8b 352 350 439 478 471 276 494 362 265 297 546 830 281 232 491 649 695
Fhl4 82 52 64 44 23 25 35 27 21 18 48 45 13 15 37 48 45
Tmem263 678 631 821 771 668 394 749 493 291 343 689 1089 364 248 576 828 903
Mterfd3 142 110 126 106 101 66 114 70 72 108 159 238 67 52 84 151 162
Cry1 861 861 1013 1128 1033 656 1456 824 663 438 763 1634 532 455 1102 1293 1428
Btbd11 186 163 194 313 318 201 373 238 165 89 159 427 125 126 322 342 423
Pwp1 2105 1928 2264 2449 2134 1392 2636 1739 1199 1583 2442 3682 1220 964 2016 2483 2895
Prdm4 865 798 1011 1014 853 587 1219 785 535 683 1333 1821 589 508 968 1291 1496
Ascl4 2 1 0 1 1 0 2 0 1 0 5 5 0 0 6 3 5
Rtcb 3822 3818 4501 3935 3617 2329 4374 2766 2031 2965 4870 6539 2164 1743 3821 4381 4892
Bpifc 0 0 0 1 5 2 0 1 0 0 0 4 1 0 2 1 0
Fbxo7 328 327 391 304 276 178 385 271 200 183 333 538 195 109 321 359 423
Syn3 10 8 24 28 24 19 40 19 12 27 25 57 19 18 19 32 37
4930486F22Rik 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Timp3 690 838 1103 257 277 150 279 154 102 578 1156 404 130 105 169 309 297
1810014B01Rik 107 120 115 127 107 66 156 107 74 83 131 133 48 40 137 140 173
Hsp90b1 11497 11414 14038 12411 11766 7183 19463 12774 8264 11271 18427 23633 7888 6107 13914 18422 20533
BC030307 33 50 33 23 24 10 39 27 19 57 59 55 10 13 22 30 33
Nt5dc3 506 504 629 556 510 327 567 407 248 256 500 613 206 175 283 334 368
Stab2 18 22 36 6 8 4 15 6 4 6 14 10 5 3 6 9 12
1700113H08Rik 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0
Ascl1 0 0 0 3 3 2 16 3 1 1 2 46 12 7 10 14 17
Pah 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
Igf1 6 26 19 37 26 19 29 22 18 11 25 41 11 8 11 20 18
Tyms-ps 162 145 162 135 115 75 192 127 80 106 202 213 78 63 177 201 227
Pmch 4 6 7 3 6 3 2 1 1 3 2 3 1 2 3 4 7
Parpbp 362 315 417 232 199 125 375 243 132 226 422 448 153 119 284 416 460
Nup37 1298 1264 1453 1142 1069 661 1441 1016 678 957 1558 1801 671 451 1228 1633 1755
Ccdc53 428 436 488 425 390 242 376 273 201 301 458 675 217 166 297 384 462
Dram1 75 74 95 157 150 80 223 164 108 37 37 50 20 10 28 31 30
Gnptab 690 682 924 797 852 528 1194 799 504 529 968 1252 407 334 687 1001 1108
Sycp3 749 729 877 687 576 321 1122 644 606 282 390 453 110 107 274 381 416
Chpt1 215 214 282 227 243 149 287 189 104 146 237 325 88 72 155 261 227
Mybpc1 18 13 17 27 16 22 27 12 12 27 47 38 14 10 30 40 38
Spic 24 28 43 62 39 18 32 18 10 33 56 74 29 25 45 45 61
Gm4925 6 2 5 1 2 5 2 1 3 0 2 0 1 1 1 1 2
Arl1 1154 1122 1278 1085 1028 622 1183 732 552 883 1355 1740 519 407 930 1197 1329
Utp20 3661 3793 4571 5697 5116 3446 6382 4131 2430 2498 4469 9418 3158 2410 4502 5965 6785
Slc5a8 6 4 10 8 10 5 13 8 2 5 9 19 2 1 6 12 11
Ano4 5 2 3 3 5 1 4 2 4 6 2 10 2 2 4 6 2
Gas2l3 640 550 756 610 521 355 792 588 351 375 792 906 262 249 537 682 784
Nr1h4 11 14 8 5 8 1 10 12 9 0 6 11 4 3 1 5 5
Slc17a8 0 0 1 3 0 1 2 0 1 1 1 0 0 0 0 1 1
Scyl2 641 692 818 648 633 382 752 551 300 553 1008 1327 431 360 625 870 895
Actr6 379 411 497 409 361 211 523 290 201 263 389 666 221 146 425 566 570
Uhrf1bp1l 889 989 1136 915 741 480 1067 654 435 614 1097 1481 539 394 771 1020 1217
Anks1b 16 15 15 18 11 6 19 16 10 11 6 36 10 3 21 14 21
Apaf1 1338 1340 1416 1279 1191 792 1206 795 496 913 1538 2476 849 678 1112 1467 1787
Ikbip 266 312 338 202 192 128 214 138 87 238 366 436 163 132 226 302 336
Slc25a3 13937 13430 15550 13649 12720 8353 14442 9098 6401 9587 15758 21139 7271 5219 10361 12488 14908
Tmpo 4375 4203 5151 4354 4198 2681 5008 3344 2181 4102 7528 9119 2967 2374 5011 6392 6953
Mir135a-2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Rmst 0 0 0 0 1 0 0 0 0 0 1 1 0 0 2 0 5
Mir1251 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Gm20757 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Nedd1 780 807 912 594 589 337 580 400 305 478 813 973 338 247 557 731 840
Cdk17 937 922 1080 1047 1045 625 969 651 427 793 1368 2150 725 579 983 1404 1404
Mir1931 0 1 0 2 2 1 0 0 0 0 2 2 0 0 0 1 0
Elk3 511 479 575 296 270 190 206 144 119 467 870 966 355 231 354 485 607
Gm17745 7 11 7 4 4 2 9 6 3 3 3 2 0 4 6 5 7
Lta4h 1575 1527 1838 1320 1074 743 1644 1094 737 1027 1749 2023 715 552 1214 1482 1762
Hal 200 199 199 113 120 67 96 75 33 49 54 60 26 20 27 37 34
Amdhd1 10 5 6 12 21 11 30 21 12 0 1 3 3 0 18 18 21
Ccdc38 40 53 56 68 63 27 62 50 21 6 11 38 24 11 25 45 49
Snrpf 502 512 559 461 481 257 455 377 281 418 658 804 298 162 461 473 582
4933408J17Rik 3 0 0 0 0 0 0 1 0 2 3 0 0 0 0 1 2
Ntn4 60 78 70 29 19 11 18 10 5 34 95 37 13 9 23 22 24
Gm8580 776 717 877 759 692 429 908 584 403 763 1175 1293 486 356 807 819 1013
Gm15915 21 14 24 18 12 5 19 5 12 0 5 2 0 0 9 9 10
Usp44 191 211 262 223 201 124 352 207 145 165 265 246 80 54 257 352 387
Metap2 5468 5355 6400 5950 5316 3457 7340 4839 3291 4201 6696 9004 3174 2356 4974 6743 8187
Mir331 0 0 1 3 1 0 1 1 0 0 0 3 0 0 2 0 0
Vezt 257 240 245 220 256 164 290 189 145 261 473 478 149 146 252 302 362
Fgd6 282 245 349 328 304 177 329 270 154 150 227 446 172 119 220 277 355
Nr2c1 194 210 223 212 182 106 264 163 122 155 288 371 145 128 175 284 304
Ndufa12 1471 1389 1593 1348 1271 816 1558 1058 656 1171 2059 2383 854 648 1337 1641 1969
Gm4792 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
Tmcc3 333 310 396 318 350 272 573 301 211 222 454 777 279 167 340 391 450
Mir7211 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
Cep83os 22 11 12 10 9 3 12 6 5 2 6 15 2 4 4 2 4
Cep83 798 746 908 723 756 462 1277 789 563 637 948 1259 400 361 769 1140 1167
Plxnc1 71 53 86 67 40 32 75 49 16 26 43 39 19 18 24 36 46
Cradd 148 163 181 164 175 94 161 106 60 129 208 328 107 81 187 218 231
2310039L15Rik 5 6 7 4 3 6 7 5 3 1 4 15 2 3 9 10 13
Socs2 1340 1484 1751 2506 2291 1362 2799 1859 1243 676 1179 3561 1202 855 1784 2251 2659
5730420D15Rik 4 2 4 2 6 1 6 3 3 8 3 7 4 2 3 8 5
Mrpl42 1600 1600 1801 1480 1431 908 1796 1083 814 1466 2548 2823 906 698 1672 2033 2304
Ube2n 5057 4815 5816 4810 4259 2678 5549 3666 2439 3813 6135 7768 2622 2014 4752 5922 7060
Nudt4 6921 6844 8437 5279 4764 2775 4305 3019 1978 3596 6941 7689 2608 1993 3699 4938 5519
Mir3058 5 2 2 4 1 2 3 2 0 0 7 1 0 1 3 0 0
Eea1 425 437 575 451 437 285 563 418 243 222 377 605 196 170 352 416 512
4930459C07Rik 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Btg1 787 868 1033 635 587 360 714 408 300 856 1544 1459 505 397 688 913 1051
4930556N09Rik 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0
Mir3966 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Dcn 220 208 268 126 139 93 89 46 58 181 292 210 67 59 57 99 161
Lum 110 104 131 47 47 29 27 21 17 45 111 67 25 19 16 24 45
4930473O22Rik 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Kera 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Epyc 0 0 2 0 1 0 0 1 0 0 0 0 0 0 0 0 1
Gm10754 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2
Ccer1 0 0 1 0 0 1 1 0 1 0 0 2 0 0 0 0 0
Gm8633 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Atp2b1 1383 1422 1870 1729 1591 950 2288 1397 938 1451 2696 3580 1328 965 1677 2219 2778
Poc1b 164 171 203 182 167 114 153 129 81 258 474 485 190 136 266 353 388
Galnt4 75 81 77 92 79 41 69 49 25 83 168 233 109 72 143 157 168
Dusp6 1138 1128 1346 2899 2752 1792 3219 2227 1499 1194 2261 4418 1577 1131 2631 3063 3465
Gm20110 0 0 0 0 1 1 0 0 0 0 0 2 0 0 0 0 0
Gm18409 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Csl 217 234 261 196 177 136 270 180 122 153 279 323 96 80 185 229 265
Kitl 51 52 72 103 72 58 142 87 62 96 178 333 96 77 205 262 292
Gm4312 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Gm4301 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Gm4305 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Gm4307 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Gm4303 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Gm4302 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Tmtc3 667 678 871 932 776 512 1124 655 402 480 911 1686 550 466 897 1436 1413
Cep290 283 259 301 280 282 170 363 228 130 174 278 648 201 171 334 484 513
4930430F08Rik 281 253 295 221 205 119 290 201 132 179 273 381 154 102 234 266 341
1700017N19Rik 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Mgat4c 15 8 6 21 11 9 12 4 1 9 7 64 20 19 10 18 19
Mir3059 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Nts 0 2 1 1 0 0 4 1 0 10 12 46 19 7 36 56 61
Rassf9 32 15 26 15 19 7 52 17 17 10 10 33 9 3 38 47 54
Alx1 0 3 8 3 4 9 12 13 3 2 5 3 1 1 13 16 7
Lrriq1 7 3 10 4 14 3 15 4 4 2 12 13 5 4 12 12 7
Slc6a15 75 68 91 102 95 58 152 86 59 147 226 360 158 102 182 272 294
Gm4340 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Gm21304 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Gm8764 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Gm6763 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Gm20765 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Gm21293 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Gm21312 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Mir6411 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Tmtc2 26 17 35 29 22 10 25 17 13 15 22 85 31 22 39 55 72
Gm15663 0 1 0 1 3 1 2 0 0 4 0 0 2 1 3 1 2
Mettl25 318 274 339 278 275 162 272 190 131 146 306 477 133 101 255 290 337
Ccdc59 546 531 608 643 600 361 826 515 330 495 656 1060 405 270 659 772 884
Ppfia2 0 0 0 0 1 2 2 0 0 0 4 5 0 1 3 3 2
Acss3 5 2 5 1 0 2 2 1 1 6 2 3 3 1 1 2 4
Lin7a 3 0 1 2 2 0 1 0 0 0 0 2 0 0 1 1 3
Myf5 1 1 2 1 0 0 4 1 4 6 1 4 0 0 0 1 2
Myf6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
Ptprq 1 0 3 1 2 0 0 0 1 2 6 17 5 3 4 5 3
Otogl 0 0 0 0 1 0 0 0 0 0 5 1 0 0 0 0 1
Ppp1r12a 1631 1743 2224 1740 1690 1034 1765 1105 639 898 1807 2685 927 697 1264 1718 1891
Pawr 1827 1754 2093 1302 1329 761 1204 900 581 987 2339 2086 722 528 1056 1247 1442
Syt1 12 8 19 11 13 2 15 10 9 11 21 23 5 4 18 9 14
Gm5136 6 2 6 4 3 4 2 4 0 1 1 1 2 2 3 3 1
Nav3 14 13 28 40 36 23 19 18 8 26 36 113 58 30 39 61 78
9230102K24Rik 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
E2f7 437 491 498 567 514 385 666 434 220 537 1022 1344 491 361 677 774 894
1700020G17Rik 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 2
Csrp2 2951 2930 3360 2618 2627 1571 3052 1867 1729 1725 2726 5223 1758 1328 3700 3974 4637
Zdhhc17 369 344 532 411 388 265 444 307 206 252 504 830 265 216 420 512 611
Osbpl8 707 637 827 595 528 344 620 395 273 243 406 671 198 175 327 528 571
Bbs10 139 121 181 86 85 50 121 85 52 75 122 166 54 40 103 162 167
Nap1l1 17443 16941 20879 20512 19036 11859 28329 17759 12119 17069 27819 36635 11864 9678 21758 30090 34390
Gm5176 387 345 399 394 328 228 381 245 176 272 509 541 173 139 295 398 430
Phlda1 867 798 1006 1300 1132 811 999 658 532 676 1335 1632 581 434 681 693 910
4933440J02Rik 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 1 0
Gm20758 0 0 0 1 0 1 1 0 0 0 1 0 1 0 1 0 0
Krr1 1530 1522 1913 2131 1910 1267 2498 1621 1049 1224 2023 3187 1048 790 1693 2342 2695
Glipr1 143 135 152 118 73 60 99 58 31 15 42 40 13 11 16 17 19
Glipr1l1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
Glipr1l2 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0
Caps2 23 28 43 61 64 29 77 40 33 12 17 67 22 17 67 74 85
Kcnc2 0 3 4 9 8 4 14 3 3 2 0 27 11 6 21 20 22
1700010J16Rik 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Atxn7l3b 2279 2231 2723 1719 1611 1012 1776 1243 781 1753 3523 3455 1149 906 1696 2325 2723
Mir669h 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Trhde 0 0 0 0 0 0 2 0 1 1 4 1 1 0 1 0 1
Tph2 31 26 21 46 39 25 54 34 32 7 7 17 5 5 17 16 25
Tbc1d15 1658 1422 1797 1808 1554 1003 2134 1334 892 932 1586 2754 858 687 1387 2012 2237
Rab21 816 783 1005 744 815 512 901 621 434 510 970 1045 421 317 599 742 873
Tmem19 713 657 807 703 642 400 681 384 279 444 717 1310 434 341 590 721 803
Thap2 128 120 197 150 137 78 147 107 68 106 209 141 67 44 97 148 165
Zfc3h1 515 495 663 890 809 579 1066 669 425 532 1049 1682 551 425 842 1214 1311
Lgr5 4 5 7 5 6 5 3 2 0 13 32 46 13 12 12 18 18
A930009A15Rik 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
Tspan8 32 22 26 51 50 31 87 39 32 9 10 15 5 2 32 26 29
Ptprr 10 0 5 5 4 6 11 13 9 0 1 10 3 0 1 3 2
4933416C03Rik 59 56 59 27 17 17 18 17 10 9 6 17 3 8 7 10 18
Ptprb 25 13 24 19 30 4 21 7 7 7 15 31 9 8 9 7 23
Kcnmb4 7 7 12 1 6 4 7 2 1 25 32 43 10 7 23 20 19
Kcnmb4os1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
Cnot2 2343 2295 2784 2528 2246 1429 2725 1756 1122 1532 2680 3753 1235 1006 2085 2589 3075
1700030O20Rik 1 0 0 1 1 0 1 0 0 0 0 0 0 0 2 0 0
Myrfl 6 2 5 3 4 3 8 5 8 2 10 8 2 3 7 4 4
Rab3ip 1260 1241 1495 1230 1123 701 1493 982 682 728 1199 1490 555 409 896 1162 1419
4933412E12Rik 24 15 29 16 12 7 31 20 9 33 37 25 8 6 22 16 18
D630029K05Rik 2 2 6 0 2 3 2 1 0 0 2 0 1 0 0 1 0
Best3 5 5 10 3 7 3 3 5 4 2 7 5 1 2 3 1 4
Lrrc10 2 7 2 0 4 2 0 3 1 2 0 4 2 1 1 0 6
Cct2 16957 16375 19462 16197 15193 9522 18993 12396 8813 13962 20371 26905 9396 7029 15404 19111 21301
Frs2 821 817 1166 1039 927 641 1209 788 506 547 1028 1544 558 411 828 1139 1304
Yeats4 1341 1407 1461 1202 1155 723 1384 891 741 1049 1808 2348 773 540 1452 1617 1866
9530003J23Rik 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0
Lyz2 28 58 51 2 16 0 11 2 8 41 39 1 1 0 2 23 17
Lyz1 5 8 9 0 6 0 3 2 0 14 8 0 0 0 1 7 5
Cpsf6 3843 3683 4561 3338 3058 1980 4239 2687 1831 3238 5194 5752 2037 1573 3706 4728 5097
Cpm 206 159 214 258 249 136 201 170 84 139 229 460 185 107 141 186 200
Mdm2 4385 4109 5165 5306 4888 3233 5366 3463 2351 2248 3767 6771 2180 1736 2994 4096 4564
Slc35e3 363 406 462 461 372 239 462 327 230 334 628 814 286 212 445 573 612
Nup107 3384 3127 3930 2886 2800 1855 3261 2181 1441 2424 3784 5301 1748 1411 3000 3709 4144
Rap1b 3291 3237 4020 2757 2549 1561 3131 2056 1326 2419 4433 4432 1492 1171 2209 3125 3604
4933411E08Rik 0 0 0 0 1 0 1 0 0 3 1 0 1 0 0 0 4
Mdm1 326 326 374 350 267 185 339 259 156 351 521 733 263 215 398 522 591
Il22 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
Iltifb 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
Ifng 2 2 0 1 2 0 0 1 0 0 0 0 0 1 0 1 2
Tmevpg1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
Dyrk2 197 189 211 153 146 79 182 132 89 169 388 282 109 88 177 170 233
C230029M16 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0
1700064J06Rik 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Cand1 8430 8616 10361 8121 7510 4697 7134 4734 3009 4335 7756 11977 4014 3293 5172 6866 7995
1700025F24Rik 0 3 6 3 0 1 4 2 0 0 0 2 1 0 2 1 1
Grip1 77 66 93 83 72 37 100 74 44 128 270 319 126 91 190 209 274
Grip1os2 0 0 2 0 0 0 0 1 1 0 0 0 0 1 2 1 0
Helb 1094 1047 1361 931 893 620 1068 684 458 803 1450 1916 656 437 1183 1409 1650
Irak3 435 435 586 284 254 156 222 158 87 192 300 385 110 113 195 261 316
Tmbim4 742 715 951 654 608 394 615 430 295 408 703 788 277 208 377 476 528
Llph 2404 2251 2755 2963 2807 1729 3026 2026 1445 1773 2383 4142 1389 1012 2077 2609 3194
Hmga2 2641 2462 3215 2280 2178 1425 2732 1790 1116 1966 4105 5941 2406 1595 3402 4096 5423
9230105E05Rik 2 0 1 0 1 2 1 3 0 0 1 2 0 0 1 2 2
4921513I03Rik 0 0 0 2 0 1 6 0 2 0 0 2 0 0 1 0 1
Msrb3 109 108 107 73 43 38 44 35 24 114 229 164 56 57 67 103 112
Gm15910 14 12 24 17 16 14 28 15 10 6 7 14 7 8 10 12 15
Lemd3 494 544 653 606 507 330 638 440 268 411 804 1068 349 267 525 684 819
Wif1 0 3 7 1 4 1 3 1 1 14 11 6 2 4 7 1 3
Tbc1d30 14 7 12 4 12 8 13 9 5 4 12 26 18 11 22 24 14
Gns 1880 1665 2217 2122 2020 1338 2818 1716 1190 928 1666 2226 771 541 1082 1403 1709
Rassf3 1141 1087 1435 1613 1596 947 1949 1195 969 907 1613 2057 667 542 1015 1233 1418
Tbk1 812 798 952 953 876 531 1079 716 459 500 821 1398 490 378 742 1034 1121
Xpot 3248 3176 4022 3804 3279 2275 4362 2811 1827 2616 4861 6770 2242 1816 3995 5119 5602
D930020B18Rik 5 5 10 14 9 13 14 12 7 6 3 8 4 2 5 9 12
BC048403 360 331 394 390 333 236 412 286 169 242 477 616 242 206 436 461 550
Srgap1 228 226 329 150 119 91 182 103 53 134 299 370 149 107 149 198 225
Gm9079 15 16 24 24 18 12 15 14 7 20 27 27 8 9 11 19 32
Tmem5 717 740 776 655 673 355 696 493 350 467 878 1007 314 250 483 643 721
Gm4489 1 1 2 1 0 0 1 0 0 0 1 0 1 0 2 1 2
Avpr1a 5 6 1 8 0 1 3 6 2 3 10 4 0 2 8 5 6
A130077B15Rik 0 0 1 0 1 0 0 1 0 0 0 2 0 0 0 1 0
Ppm1h 83 85 73 75 64 47 111 73 63 66 121 124 46 26 69 86 96
Mir8104 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Mirlet7i 0 0 0 4 0 1 1 2 0 0 1 2 3 0 2 2 1
Mon2 1186 1076 1507 1180 1121 731 1178 764 507 661 1249 1786 649 492 960 1204 1301
Usp15 2206 2154 2714 1860 1717 1097 2578 1815 1092 1341 2501 2773 988 771 2019 2608 3063
Fam19a2 2 0 0 1 0 0 0 1 0 7 8 8 1 1 7 5 4
4930503E24Rik 0 1 2 0 1 1 0 0 0 0 4 3 0 0 0 0 0
Slc16a7 5 2 1 2 2 1 4 5 1 0 7 1 3 1 4 2 7
Lrig3 252 235 258 298 267 166 388 274 177 539 1037 1148 441 341 696 796 940
Xrcc6bp1 199 166 196 213 176 124 169 126 93 208 318 347 132 97 165 182 236
Ctdsp2 3038 2895 3660 3913 3501 2429 3006 2304 1397 2398 4677 5910 2139 1562 2701 3104 3684
Mir26a-2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Mir546 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
Avil 14 8 19 26 21 12 18 11 2 8 11 13 7 4 4 5 10
Tsfm 938 871 951 902 830 565 956 682 510 693 949 1439 518 435 790 921 1073
LOC100504608 2 2 1 2 3 2 8 0 4 4 10 13 4 4 4 10 7
Mettl1 405 389 406 369 373 228 443 270 201 322 550 702 275 200 421 472 588
Cyp27b1 1 6 7 2 5 0 1 5 2 5 0 7 4 1 2 8 4
March9 142 158 205 240 230 173 261 209 161 159 494 423 166 79 268 274 285
Cdk4 8943 8695 10123 9827 9233 6134 12993 8683 6376 7486 11290 16208 5880 4179 11073 12405 14291
Tspan31 1123 1058 1330 1080 1061 654 1212 879 560 1005 1565 1789 648 499 908 1195 1390
LOC100504703 8 12 7 8 7 6 24 9 10 12 16 21 2 5 24 25 35
Agap2 23 19 28 17 13 8 8 14 7 26 49 24 13 8 44 30 32
Os9 583 593 747 590 558 363 660 422 370 421 785 1195 441 286 660 674 809
B4galnt1 155 154 171 97 103 61 150 93 88 101 187 169 91 59 123 121 129
Slc26a10 75 99 116 62 59 25 95 72 66 68 130 138 51 36 74 71 97
Arhgef25 441 447 619 533 526 328 703 483 331 532 939 1402 520 329 818 941 1019
Dtx3 636 610 730 670 595 404 838 568 485 581 1095 1134 445 302 835 890 938
F420014N23Rik 3 20 21 22 23 11 17 21 9 18 38 33 12 6 18 15 14
Pip4k2c 1678 1609 1940 2193 2060 1387 2381 1582 1156 911 1535 2647 900 679 1407 1542 1756
Kif5a 71 65 71 114 91 65 128 92 58 138 262 384 147 109 217 261 275
Dctn2 2615 2400 3095 2778 2707 1636 2928 1808 1619 2261 3520 5331 1907 1396 3241 3421 3853
Mbd6 1072 1070 1279 1113 996 719 848 644 427 666 1478 1775 686 466 787 824 966
Ddit3 244 204 270 320 275 158 320 228 148 90 170 231 58 52 128 119 137
Mars 3051 3168 3799 2978 2933 1894 3816 2500 1801 2489 4160 5685 2007 1505 3195 3619 4181
Arhgap9 78 81 106 46 49 42 69 49 32 47 95 93 35 22 46 40 45
Gli1 116 98 141 66 84 80 208 113 112 284 585 486 221 116 400 401 448
Inhbe 2 2 1 7 4 2 1 2 6 0 0 2 0 0 2 1 6
Inhbc 26 22 21 76 77 43 82 48 37 4 6 14 8 9 19 31 28
R3hdm2 1808 1867 2324 1743 1646 1143 1638 1155 707 1108 2302 2930 948 701 1360 1573 1897
Stac3 8 11 12 21 9 9 12 12 5 6 11 22 5 3 11 13 9
Ndufa4l2 1205 1123 1290 120 93 64 21 23 21 436 652 61 13 15 21 17 12
Shmt2 3302 3130 3740 2198 2127 1396 2554 1790 1318 2549 4172 4197 1482 1142 2607 2768 3216
Nxph4 56 44 59 12 9 12 15 13 8 71 154 19 5 3 26 19 29
Lrp1 1468 1575 1926 1490 1363 1117 1454 1005 594 1164 2189 3582 1390 948 1483 1637 2186
Stat6 860 790 949 604 581 319 707 483 366 575 1058 941 343 237 593 768 785
Nab2 393 428 500 333 344 206 291 213 140 391 705 631 220 157 495 404 481
1700012D01Rik 7 8 8 4 10 2 5 2 2 6 13 12 2 5 0 5 5
Tmem194 386 399 534 640 563 389 714 519 308 363 600 899 333 245 452 645 711
Myo1a 35 15 41 41 46 37 56 51 16 12 30 39 21 11 26 32 38
Tac2 1 0 0 0 0 0 3 0 0 0 5 3 0 0 0 0 1
Zbtb39 284 252 344 412 382 236 388 262 182 320 764 998 329 231 419 461 545
Gpr182 10 5 10 11 17 19 15 11 5 9 9 25 8 6 11 14 11
Rdh1 4 7 12 20 17 12 14 9 4 3 9 16 6 4 8 6 16
Rdh9 0 0 0 2 2 2 2 0 2 0 0 4 1 0 4 2 1
Rdh16 1 0 0 2 0 0 2 1 1 0 0 2 1 0 0 1 0
Rdh18-ps 0 2 1 6 2 0 0 1 1 0 0 1 1 0 0 2 3
Rdh19 0 0 0 1 2 1 1 0 0 0 0 0 0 0 0 0 0
BC089597 0 0 0 1 3 2 0 2 0 1 3 0 0 0 0 2 0
